,Large Individual Contributions,Small Individual Contributions (< $200),PAC Contributions,Other,Candidate self-financing,Labor,Business,Ideological
Bradley Byrne,0.22712512867789328,0.008321684117089863,0.7223427287315904,0.04221045847342643,0.0,0.017471785427586532,0.922793596826746,0.05973461774566747
Martha Roby,0.29393723082501216,0.01835361705935007,0.6535376279429767,0.03417152417266114,0.0,0.004820874386091778,0.7068305763957938,0.2883485492181144
Mike D Rogers,0.3847743606229991,0.008097861755603392,0.5942431995591065,0.012884578062291017,0.0,0.014738031490260617,0.9229937854633883,0.06226818304635111
Robert B Aderholt,0.28566468516954796,0.017143592376257726,0.6895868597904363,0.0076048626637579995,0.0,0.015044055576502314,0.9606033794590345,0.02435256496446312
Mo Brooks,0.5639861983797406,0.24196893045393233,0.20246285249385843,-0.008417981327531424,0.0,0.023232658479920346,0.7653501493528045,0.21141719216727514
Gary Palmer,0.24392764338549636,0.005857767215094365,0.26152104315989483,0.48869354623951444,0.0,0.0031245410830284303,0.8475286442303787,0.14934681468659292
Terri A Sewell,0.1763647438781016,0.008578342014132333,0.8150075552678783,4.935883988777595e-05,0.0,0.06147493127858241,0.9115653921551119,0.02695967656630569
Jeff Sessions,0.29544907719510893,0.0065587129079192575,0.5626630031391936,0.13532920675777818,0.0,0.0,0.8964226667070061,0.10357733329299394
Doug Jones,0.4266041247297804,0.5512903559481516,0.03496926527234473,-0.012863745950276674,0.0,0.1633042453491961,0.5620247481691405,0.27467100648166337
Luther Strange,0.5699520876112252,0.008877747851053806,0.30571055228139415,0.09768136039183267,0.017778251864494166,0.0045779383227834295,0.7683832499161161,0.22703881176110055
Richard C Shelby,0.4148405077117455,0.0025484095196314453,0.47157044559622524,0.11104063717239779,0.0,0.014209127444904731,0.8952263813141499,0.09056449124094543
Don Young,0.5086577423463048,0.0375683522056445,0.45618003345601627,-0.002406128007965563,0.0,0.2510260690572716,0.6132405493167609,0.13573338162596757
Dan Sullivan,0.6805728329805064,0.04615418692455677,0.1461680648521224,0.12704192918729723,6.298605551716905e-05,0.015466426169468037,0.627003417736485,0.35753015609404687
