rank_from_low,rank_from_high,percentile,ideology,id,bioguide_id,state,district,name
1,99,0,0.0,412223,G000555,NY,,b'Gillibrand'
2,98,1,0.008702126947094217,400357,S000033,VT,,b'Sanders'
3,97,2,0.03295751608681747,412325,M001176,OR,,b'Merkley'
4,96,3,0.05085780172997755,412678,H001075,CA,,b'Harris'
5,95,4,0.09073460995616635,400253,M000133,MA,,b'Markey'
6,94,5,0.1022090112980621,412490,B001277,CT,,b'Blumenthal'
7,93,6,0.11951968188325546,400050,B000944,OH,,b'Brown'
8,92,7,0.12267233326568651,300081,R000122,RI,,b'Reed'
9,91,8,0.12754257213755685,300076,M001111,WA,,b'Murray'
10,90,9,0.12992329182086187,412200,H001042,HI,,b'Hirono'
11,89,10,0.1358445661114254,300038,D000563,IL,,b'Durbin'
12,88,11,0.14533408925541205,400415,V000128,MD,,b'Van Hollen'
13,87,12,0.15393746268225655,412542,W000817,MA,,b'Warren'
14,86,13,0.15913797817092476,412742,S001203,MN,,b'Smith'
15,85,14,0.16155261267002077,300043,F000062,CA,,b'Feinstein'
16,84,15,0.16526645037083393,300100,W000779,OR,,b'Wyden'
17,83,16,0.16874976399679734,412598,B001288,NJ,,b'Booker'
18,82,17,0.18029928127453942,412247,W000802,RI,,b'Whitehouse'
19,81,18,0.19018801969606847,412194,M001169,CT,,b'Murphy'
20,80,19,0.1940172195938445,412533,D000622,IL,,b'Duckworth'
21,79,20,0.19494565166876232,412680,H001076,NH,,b'Hassan'
22,78,21,0.20522775051076372,412681,C001113,NV,,b'Cortez Masto'
23,77,22,0.21960711365844904,300065,L000174,VT,,b'Leahy'
24,76,23,0.23466051022537585,400272,M000639,NJ,,b'Menendez'
25,75,24,0.23492253773670702,400064,C000141,MD,,b'Cardin'
26,74,25,0.23802963131120744,412507,S001194,HI,,b'Schatz'
27,73,26,0.24283083317964912,412582,K000384,VA,,b'Kaine'
28,72,27,0.25000758580804056,300019,C000174,DE,,b'Carper'
29,71,28,0.25914961413490945,400013,B001230,WI,,b'Baldwin'
30,70,29,0.26937263467710354,300087,S000148,NY,,b'Schumer'
31,69,30,0.28189965261431704,300093,S000770,MI,,b'Stabenow'
32,68,31,0.2904001003545551,300018,C000127,WA,,b'Cantwell'
33,67,32,0.3059646815033867,400413,U000039,NM,,b'Udall'
34,66,33,0.31509415347512476,412242,K000367,MN,,b'Klobuchar'
35,65,34,0.3154604653537477,412246,C001070,PA,,b'Casey'
36,64,35,0.3179214550681262,412323,S001181,NH,,b'Shaheen'
37,63,36,0.32272956125693947,412281,H001046,NM,,b'Heinrich'
38,62,37,0.41165852554908033,412330,B001267,CO,,b'Bennet'
39,61,38,0.42418475658542654,412390,C001088,DE,,b'Coons'
40,60,39,0.4387098804841697,412305,P000595,MI,,b'Peters'
41,59,40,0.463649480284227,412321,W000805,VA,,b'Warner'
42,58,41,0.4798674083457688,300078,N000032,FL,,b'Nelson'
43,57,42,0.5124009681936544,412741,J000300,AL,,b'Jones'
44,56,43,0.5198135067038934,412243,M001170,MO,,b'McCaskill'
45,55,44,0.5309293305855259,412545,K000383,ME,,b'King'
46,54,45,0.5363965727712479,300025,C001035,ME,,b'Collins'
47,53,46,0.5627219440968714,412244,T000464,MT,,b'Tester'
48,52,47,0.5840849109013482,300075,M001153,AK,,b'Murkowski'
49,51,48,0.6061241252782935,412554,H001069,ND,,b'Heitkamp'
50,50,49,0.6546625932396029,400325,P000449,OH,,b'Portman'
51,49,51,0.675828831327996,300089,S000320,AL,,b'Shelby'
52,48,52,0.6824402369492032,412205,D000607,IN,,b'Donnelly'
53,47,53,0.6953398400227815,412248,C001071,TN,,b'Corker'
54,46,54,0.7080498853677221,412391,M001183,WV,,b'Manchin'
55,45,55,0.716237337783082,300002,A000360,TN,,b'Alexander'
56,44,56,0.7258636129416577,412492,P000603,KY,,b'Paul'
57,43,57,0.7321459126315386,400054,B001135,NC,,b'Burr'
58,42,58,0.7354904702728335,300047,G000359,SC,,b'Graham'
59,41,59,0.7414179659117345,400408,T000461,PA,,b'Toomey'
60,40,60,0.742235489731633,412743,H001079,MS,,b'Hyde-Smith'
61,39,61,0.7576891768003867,400061,C001047,WV,,b'Capito'
62,38,62,0.7639358579781476,412665,S001198,AK,,b'Sullivan'
63,37,63,0.7653849728633025,300072,M000355,KY,,b'McConnell'
64,36,64,0.7768840267553742,412406,G000562,CO,,b'Gardner'
65,35,65,0.7776344569671255,412671,S001197,NE,,b'Sasse'
66,34,66,0.7807691104289503,412428,Y000064,IN,,b'Young'
67,33,67,0.7990862292032658,412218,H001041,NV,,b'Heller'
68,32,68,0.8187104401658056,400134,F000444,AZ,,b'Flake'
69,31,69,0.8205760343332624,300048,G000386,IA,,b'Grassley'
70,30,70,0.8310137122079804,400194,I000055,GA,,b'Isakson'
71,29,71,0.8334050397121328,412269,C001075,LA,,b'Cassidy'
72,28,72,0.8403556102836912,412494,H001061,ND,,b'Hoeven'
73,27,73,0.8406338905764807,400284,M000934,KS,,b'Moran'
74,26,74,0.8434803336255454,412496,J000293,WI,,b'Johnson'
75,25,75,0.847652118881885,412491,R000595,FL,,b'Rubio'
76,24,76,0.8507204555584914,412495,L000577,UT,,b'Lee'
77,23,77,0.8641820753201587,412471,S001184,SC,,b'Scott'
78,22,78,0.8655364015657664,300030,C000880,ID,,b'Crapo'
79,21,79,0.868355640246332,412679,K000393,LA,,b'Kennedy'
80,20,80,0.871128946126216,400546,T000250,SD,,b'Thune'
81,19,81,0.8762724448655931,412668,T000476,NC,,b'Tillis'
82,18,82,0.8853832673403488,300052,H000338,UT,,b'Hatch'
83,17,83,0.8942829609668851,412556,F000463,NE,,b'Fischer'
84,16,84,0.8967812019941833,400432,W000437,MS,,b'Wicker'
85,15,85,0.9126523163147815,412322,R000584,ID,,b'Risch'
86,14,86,0.9174879938360249,400034,B000575,MO,,b'Blunt'
87,13,87,0.9195216823248556,412549,D000618,MT,,b'Daines'
88,12,88,0.9239033951603534,412251,B001261,WY,,b'Barrasso'
89,11,89,0.9312776354216258,400040,B001236,AR,,b'Boozman'
90,10,90,0.9332695727307143,412667,E000295,IA,,b'Ernst'
91,9,91,0.9390053118686685,412573,C001098,TX,,b'Cruz'
92,8,92,0.9506234389888111,412464,L000575,OK,,b'Lankford'
93,7,93,0.9508044649731177,300083,R000307,KS,,b'Roberts'
94,6,94,0.9534992499898247,412666,P000612,GA,,b'Perdue'
95,5,95,0.9624988256180129,300027,C001056,TX,,b'Cornyn'
96,4,96,0.9698474898734152,412669,R000605,SD,,b'Rounds'
97,3,97,0.9727381492026903,412508,C001095,AR,,b'Cotton'
98,2,98,0.9753306842241066,300041,E000285,WY,,b'Enzi'
99,1,99,1.0,300055,I000024,OK,,b'Inhofe'
